food_name,ingre_code,meta,l_cat,m_cat,s_cat,train_name
깻잎지,73001.0,B1702024,"장아찌, 절임류",절임류,24,깻잎지
우엉장아찌,,B1701023,"장아찌, 절임류",장아찌,23,
죽순장아찌,,B1701024,"장아찌, 절임류",장아찌,24,
겨자소스,,B1802001,"장류, 양념류",소스,1,
콩잎장아찌,,B1701025,"장아찌, 절임류",장아찌,25,
간장,,A1801001,"장류, 양념류",장류,1,
강된장,,B1801002,"장류, 양념류",장류,2,
겨자,,A1803001,"장류, 양념류","기타,양념류",1,
돈가스소스,,B1802002,"장류, 양념류",소스,2,
고추다대기,,B1803002,"장류, 양념류","기타,양념류",2,
고추장,,A1801003,"장류, 양념류",장류,3,
고춧가루,,A1803003,"장류, 양념류","기타,양념류",3,
굵은소금,,A1803004,"장류, 양념류","기타,양념류",4,
꽃소금,,A1803005,"장류, 양념류","기타,양념류",5,
낫또,,A1803006,"장류, 양념류","기타,양념류",6,
다대기,,B1803007,"장류, 양념류","기타,양념류",7,
달래양념장,,B1803008,"장류, 양념류","기타,양념류",8,
동태살카레소스,,B1802003,"장류, 양념류",소스,3,
된장소스,,B1802004,"장류, 양념류",소스,4,
된장,,A1801004,"장류, 양념류",장류,4,
땅콩소스,,B1802005,"장류, 양념류",소스,5,
머스타드소스,,B1802006,"장류, 양념류",소스,6,
막장,,B1801005,"장류, 양념류",장류,5,
맛소금,,A1803009,"장류, 양념류","기타,양념류",9,
발사믹소스,,B1802007,"장류, 양념류",소스,7,
쇠고기카레,,B1802008,"장류, 양념류",소스,8,
볶음고추장,,B1801006,"장류, 양념류",장류,6,
산초가루,,A1803010,"장류, 양념류","기타,양념류",10,
설탕,,A1803011,"장류, 양념류","기타,양념류",11,
소금,,A1803012,"장류, 양념류","기타,양념류",12,
소금장,,B1803013,"장류, 양념류","기타,양념류",13,
스테이크소스,,B1802009,"장류, 양념류",소스,9,
양념치킨소스,,B1802010,"장류, 양념류",소스,10,
식초,,A1803014,"장류, 양념류","기타,양념류",14,
쌈장,181036.0,A1801007,"장류, 양념류",장류,7,
씨앗쌈장,,B1801008,"장류, 양념류",장류,8,
약고추장,,B1801009,"장류, 양념류",장류,9,
양념고추장,,B1801010,"장류, 양념류",장류,10,
짜장소스,,B1802011,"장류, 양념류",소스,11,
와사비,,A1803015,"장류, 양념류","기타,양념류",15,
와사비간장,,B1801011,"장류, 양념류",장류,11,
우렁강된장,,B1801012,"장류, 양념류",장류,12,
우렁쌈장,,B1801013,"장류, 양념류",장류,13,
진간장,,A1801014,"장류, 양념류",장류,14,
채소샐러드참깨소스,,B1802012,"장류, 양념류",소스,12,
참기름,,A1803016,"장류, 양념류","기타,양념류",16,
치킨카레,,B1802013,"장류, 양념류",소스,13,
청국장,63011.0,A1801015,"장류, 양념류",장류,15,청국장
초간장,,B1801016,"장류, 양념류",장류,16,
초고추장,181045.0,B1801017,"장류, 양념류",장류,17,초고추장
춘장,,A1801018,"장류, 양념류",장류,18,
칠리소스,,B1802014,"장류, 양념류",소스,14,
카레소스,,B1802015,"장류, 양념류",소스,15,
타르타르소스,,B1802016,"장류, 양념류",소스,16,
토마토카레소스,,B1802017,"장류, 양념류",소스,17,
하이라이스소스,,B1802018,"장류, 양념류",소스,18,
핫소스,,A1802019,"장류, 양념류",소스,19,
해물덮밥소스,,B1802020,"장류, 양념류",소스,20,
과일빙수,,B1902001,유제품류 및 빙과류,빙과류,1,
황설탕,,A1803017,"장류, 양념류","기타,양념류",17,
후추,,A1803018,"장류, 양념류","기타,양념류",18,
흑마늘,,B1803019,"장류, 양념류","기타,양념류",19,
고르곤졸라,,A1901001,유제품류 및 빙과류,유제품,1,
구슬아이스크림,,B1902002,유제품류 및 빙과류,빙과류,2,
과일우유,,A1901002,유제품류 및 빙과류,유제품,2,
녹차빙수,,B1902003,유제품류 및 빙과류,빙과류,3,
귀리우유,,A1901003,유제품류 및 빙과류,유제품,3,
딸기빙수,,B1902004,유제품류 및 빙과류,빙과류,4,
단호박우유,,B1901004,유제품류 및 빙과류,유제품,4,
딸기쉐이크,,B1902005,유제품류 및 빙과류,빙과류,5,
딸기아이스크림,,A1902006,유제품류 및 빙과류,빙과류,6,
망고빙수,,B1902007,유제품류 및 빙과류,빙과류,7,
딸기우유,,A1901005,유제품류 및 빙과류,유제품,5,
바닐라아이스크림,,A1902008,유제품류 및 빙과류,빙과류,8,
모짜렐라치즈,,A1901006,유제품류 및 빙과류,유제품,6,
바나나우유,,A1901007,유제품류 및 빙과류,유제품,7,
아이스크림,,A1902009,유제품류 및 빙과류,빙과류,9,
분유,,A1901008,유제품류 및 빙과류,유제품,8,
블루베리요거트,,A1901009,유제품류 및 빙과류,유제품,9,
블루베리우유,,A1901010,유제품류 및 빙과류,유제품,10,
생크림,,A1901011,유제품류 및 빙과류,유제품,11,
스트링치즈,,A1901012,유제품류 및 빙과류,유제품,12,
슬라이스치즈,,A1901013,유제품류 및 빙과류,유제품,13,
아로니아우유,,A1901014,유제품류 및 빙과류,유제품,14,
인절미팥빙수,,B1902010,유제품류 및 빙과류,빙과류,10,
액상요구르트,,A1901015,유제품류 및 빙과류,유제품,15,
요구르트,,A1901016,유제품류 및 빙과류,유제품,16,
우유,,A1901017,유제품류 및 빙과류,유제품,17,
초코아이스크림,,B1902011,유제품류 및 빙과류,빙과류,11,
저지방우유,,A1901018,유제품류 및 빙과류,유제품,18,
체다치즈,,A1901019,유제품류 및 빙과류,유제품,19,
팥빙수,,B1902012,유제품류 및 빙과류,빙과류,12,
초코우유,,A1901020,유제품류 및 빙과류,유제품,20,
치즈,,A1901021,유제품류 및 빙과류,유제품,21,
커스터드크림,,A1901022,유제품류 및 빙과류,유제품,22,
커피우유,,A1901023,유제품류 및 빙과류,유제품,23,
크림치즈,,A1901024,유제품류 및 빙과류,유제품,24,
국화차,,A2002001,음료 및 차류,차류,1,
호상요구르트,,A1901025,유제품류 및 빙과류,유제품,25,
흰우유,,A1901026,유제품류 및 빙과류,유제품,26,
감귤주스,,A2003001,음료 및 차류,"주스,즙류",1,
검은콩두유,,A2004001,음료 및 차류,음료류,1,
고구마라떼,,A2001001,음료 및 차류,커피류,1,
과일주스,,A2003002,음료 및 차류,"주스,즙류",2,
과채주스,,A2003003,음료 및 차류,"주스,즙류",3,
꿀차,,A2002002,음료 및 차류,차류,2,
까페라떼,,A2001002,음료 및 차류,커피류,2,
녹차,,A2002003,음료 및 차류,차류,3,
노니주스,,A2003004,음료 및 차류,"주스,즙류",4,
녹즙,,A2003005,음료 및 차류,"주스,즙류",5,
대추차,,A2002004,음료 및 차류,차류,4,
녹차라떼,,A2001003,음료 및 차류,커피류,3,
당근주스,,A2003006,음료 및 차류,"주스,즙류",6,
도라지차,,A2002005,음료 및 차류,차류,5,
둥굴레차,,A2002006,음료 및 차류,차류,6,
두유,,A2004002,음료 및 차류,음료류,2,
레몬차,,A2002007,음료 및 차류,차류,7,
딸기바나나주스,,A2003007,음료 및 차류,"주스,즙류",7,
딸기주스,,A2003008,음료 및 차류,"주스,즙류",8,
라떼,,A2001004,음료 및 차류,커피류,4,
레모네이드,,A2004003,음료 및 차류,음료류,3,
마차,,A2002008,음료 및 차류,차류,8,
마주스,,A2003009,음료 및 차류,"주스,즙류",9,
마테차,,A2002009,음료 및 차류,차류,9,
매실차,,A2002010,음료 및 차류,차류,10,
망고스무디,,A2004004,음료 및 차류,음료류,4,
망고주스,,A2003010,음료 및 차류,"주스,즙류",10,
매실음료,,A2004005,음료 및 차류,음료류,5,
메밀차,,A2002011,음료 및 차류,차류,11,
모과차,,A2002028,음료 및 차류,차류,28,
밀크티,,A2002012,음료 및 차류,차류,12,
밀크커피,,A2001006,음료 및 차류,커피류,6,
보리차,,A2002013,음료 및 차류,차류,13,
바나나주스,,A2003011,음료 및 차류,"주스,즙류",11,
바닐라라떼,,A2001007,음료 및 차류,커피류,7,
배즙,,A2003012,음료 및 차류,"주스,즙류",12,
보이차,,A2002014,음료 및 차류,차류,14,
생강차,,A2002015,음료 및 차류,차류,15,
복숭아아이스티,,A2004006,음료 및 차류,음료류,6,
블랙커피,,A2001008,음료 및 차류,커피류,8,
블루베리스무디,,A2004007,음료 및 차류,음료류,7,
블루베리주스,,A2003013,음료 및 차류,"주스,즙류",13,
비트주스,,A2003014,음료 및 차류,"주스,즙류",14,
사과당근주스,,A2003015,음료 및 차류,"주스,즙류",15,
사과주스,,A2003016,음료 및 차류,"주스,즙류",16,
사과즙,,A2003017,음료 및 차류,"주스,즙류",17,
사이다,,A2004008,음료 및 차류,음료류,8,
쌍화차,,A2002016,음료 및 차류,차류,16,
생과일주스,,A2003018,음료 및 차류,"주스,즙류",18,
석류즙,,A2003019,음료 및 차류,"주스,즙류",19,
선식,,A2004009,음료 및 차류,음료류,9,
수박주스,,A2003020,음료 및 차류,"주스,즙류",20,
수박화채,,B2004010,음료 및 차류,음료류,10,
수정과,,A2004011,음료 및 차류,음료류,11,
쉐이크,,A2004012,음료 및 차류,음료류,12,
식초음료,,A2004013,음료 및 차류,음료류,13,
식혜,201019.0,A2004014,음료 및 차류,음료류,14,식혜
오미자차,,A2002017,음료 및 차류,차류,17,
아로니아주스,,A2003021,음료 및 차류,"주스,즙류",21,
아사이베리주스,,A2003022,음료 및 차류,"주스,즙류",22,
아이스라떼,,A2001009,음료 및 차류,커피류,9,
아이스바닐라라떼,,A2001010,음료 및 차류,커피류,10,
아이스블랙커피,,A2001011,음료 및 차류,커피류,11,
아이스설탕커피,,A2001012,음료 및 차류,커피류,12,
아이스커피,,A2001013,음료 및 차류,커피류,13,
아이스티,,A2004015,음료 및 차류,음료류,15,
알로에주스,,A2003023,음료 및 차류,"주스,즙류",23,
양배추즙,,A2003024,음료 및 차류,"주스,즙류",24,
양파즙,,A2003025,음료 및 차류,"주스,즙류",25,
오디주스,,A2004016,음료 및 차류,음료류,16,
오렌지에이드,,A2004017,음료 및 차류,음료류,17,
오렌지주스,,A2003026,음료 및 차류,"주스,즙류",26,
옥수수수염차,,A2002018,음료 및 차류,차류,18,
우엉차,,A2002019,음료 및 차류,차류,19,
유자차,,A2002020,음료 및 차류,차류,20,
율무차,,A2002021,음료 및 차류,차류,21,
코코아,,A2002022,음료 및 차류,차류,22,
이온음료,,A2004018,음료 및 차류,음료류,18,
인삼주스,,A2003027,음료 및 차류,"주스,즙류",27,
인삼차,,A2001014,음료 및 차류,커피류,14,
자몽에이드,,A2004019,음료 및 차류,음료류,19,
자몽주스,,A2003028,음료 및 차류,"주스,즙류",28,
주스,,A2003029,음료 및 차류,"주스,즙류",29,
채소주스,,A2003030,음료 및 차류,"주스,즙류",30,
칡즙,,A2003031,음료 및 차류,"주스,즙류",31,
카카오닙스차,,A2001015,음료 및 차류,커피류,15,
카페라떼,,A2001016,음료 및 차류,커피류,16,
"카페모카,휘핑크림",,A2001017,음료 및 차류,커피류,17,
카푸치노,,A2001018,음료 및 차류,커피류,18,
캐러멜마끼아또,,A2001019,음료 및 차류,커피류,19,
커피,,A2001021,음료 및 차류,커피류,21,
허브차,,A2002023,음료 및 차류,차류,23,
키위주스,,A2003032,음료 및 차류,"주스,즙류",32,
탄산음료,,A2004020,음료 및 차류,음료류,20,
토마토주스,,A2003033,음료 및 차류,"주스,즙류",33,
펩시콜라,,A2004021,음료 및 차류,음료류,21,
포도주스,,A2003034,음료 및 차류,"주스,즙류",34,
포도즙,,A2003035,음료 및 차류,"주스,즙류",35,
핫초코,,A2004022,음료 및 차류,음료류,22,
해독주스,,A2003036,음료 및 차류,"주스,즙류",36,
현미녹차,,A2002024,음료 및 차류,차류,24,
홍삼차,,A2002025,음료 및 차류,차류,25,
호박식혜,,A2004023,음료 및 차류,음료류,23,
호박즙,,A2003037,음료 및 차류,"주스,즙류",37,
홍삼농축액,,A2003038,음료 및 차류,"주스,즙류",38,
홍차,,A2002026,음료 및 차류,차류,26,
히비스커스차,,A2002027,음료 및 차류,차류,27,
화채,,B2004025,음료 및 차류,음료류,25,
강낭콩밥,,B0102001,밥류,잡곡밥,1,
감,,A2201001,과일류,과일류,1,
브륄레,301872.0,B2301026,당류,당류,26,브륄레
검은콩밥,,B0102002,밥류,잡곡밥,2,
달래,300911.0,A2601081,"채소, 해조류",채소류,81,달래
마늘쫑,,A2601088,"채소, 해조류",채소류,88,
죽순,103028.0,A2601082,"채소, 해조류",채소류,82,죽순
간,226011.0,A2704010,수조어육류,기타가공류,10,간
대게,284786.0,A2703044,수조어육류,어류,44,대게
홍합,306262.0,A2703043,수조어육류,어류,43,홍합
쇠고기송이버섯덮밥,,B0105001,밥류,"볶음밥,덮밥",1,
가리비초밥,,B0108001,밥류,초밥,1,
가지밥,,B0111001,밥류,기타밥,1,
가츠동,,B0111002,밥류,기타밥,2,
간장계란밥,,B0103002,밥류,비빔밥,2,
간장비빔밥,,B0103001,밥류,비빔밥,1,
간장새우초밥,,B0108002,밥류,초밥,2,
갈비김밥,,B0106001,밥류,김밥,1,
감자밥,,B0111003,밥류,기타밥,3,
감자볶음밥,,B0104001,밥류,"볶음밥,덮밥",1,
감태김밥,,B0106002,밥류,김밥,2,
갑오징어초밥,,B0108003,밥류,초밥,3,
귀리밥,,B0102003,밥류,잡곡밥,3,
강황밥,306089.0,B0111004,밥류,기타밥,4,강황밥
기장밥,,B0102004,밥류,잡곡밥,4,
게맛살롤,,B0108004,밥류,초밥,4,
게맛살채소볶음밥,,B0104002,밥류,"볶음밥,덮밥",2,
게맛살초밥,,B0108005,밥류,초밥,5,게맛살초밥
게살볶음밥,,B0104003,밥류,"볶음밥,덮밥",3,
게살새우볶음밥,,B0104004,밥류,"볶음밥,덮밥",4,
게장비빔밥,,B0103003,밥류,비빔밥,3,
고구마밥,,B0111005,밥류,기타밥,5,
고추김밥,,B0106003,밥류,김밥,3,
고추잡채밥,,B0104005,밥류,"볶음밥,덮밥",5,
고추장삼겹살덮밥,,B0104006,밥류,"볶음밥,덮밥",6,
곤드레밥,306481.0,B0111006,밥류,기타밥,6,곤드레밥
관자초밥,,B0108006,밥류,초밥,6,
관자크림리조또,,B0111007,밥류,기타밥,7,
광어초밥,,B0108007,밥류,초밥,7,
국밥,,B0109001,밥류,국밥,1,
굴국밥,,B0109002,밥류,국밥,2,
굴밥,,B0111008,밥류,기타밥,8,
녹두밥,,B0102005,밥류,잡곡밥,5,
규동,,B0111009,밥류,기타밥,9,
렌틸콩밥,,B0102006,밥류,잡곡밥,6,
김가루주먹밥,,B0107001,밥류,주먹밥,1,
김마끼,,B0108008,밥류,초밥,8,
김밥,,B0106004,밥류,김밥,4,
김치국밥,,B0109003,밥류,국밥,3,
김치김밥,,B0106005,밥류,김밥,5,
김치돈가스가츠동,,B0111010,밥류,기타밥,10,
김치볶음밥,,B0104007,밥류,"볶음밥,덮밥",7,
김치스팸덮밥,,B0104008,밥류,"볶음밥,덮밥",8,
김치알밥,,B0103004,밥류,비빔밥,4,
김치주먹밥,,B0107002,밥류,주먹밥,2,
김치초밥,,B0108009,밥류,초밥,9,
김치필래프,,B0111011,밥류,기타밥,11,
깍두기볶음밥,,B0104009,밥류,"볶음밥,덮밥",9,
깻잎쌈밥,,B0111012,밥류,기타밥,12,
꼬마김밥,,B0106006,밥류,김밥,6,
꼬막비빔밥,,B0103005,밥류,비빔밥,5,
나물볶음밥,,B0104010,밥류,"볶음밥,덮밥",10,
나물비빔밥,,B0103006,밥류,비빔밥,6,
나시고랭,,B0104011,밥류,"볶음밥,덮밥",11,
낙지덮밥,,B0104012,밥류,"볶음밥,덮밥",12,
낙지볶음밥,,B0104013,밥류,"볶음밥,덮밥",13,
낙지비빔밥,,B0103007,밥류,비빔밥,7,
낙지콩나물덮밥,,B0104014,밥류,"볶음밥,덮밥",14,
날치알김밥,,B0106007,밥류,김밥,7,
날치알김치볶음밥,,B0104015,밥류,"볶음밥,덮밥",15,
날치알롤초밥,,B0108010,밥류,초밥,10,
날치알볶음밥,,B0104016,밥류,"볶음밥,덮밥",16,
날치알비빔밥,,B0103008,밥류,비빔밥,8,
날치알주먹밥,,B0107003,밥류,주먹밥,3,
날치알초밥,296662.0,B0108011,밥류,초밥,11,날치알초밥
병아리콩밥,,B0102007,밥류,잡곡밥,7,병아리콩밥
농어초밥,,B0108012,밥류,초밥,12,농어초밥
누드김밥,,B0106008,밥류,김밥,8,
누룽지,11002.0,B0111013,밥류,기타밥,13,누룽지
누룽지탕,,B0109004,밥류,국밥,4,
단호박찰밥,,B0111014,밥류,기타밥,14,
단호박치킨카레라이스,,B0104017,밥류,"볶음밥,덮밥",17,
단호박카레라이스,,B0104018,밥류,"볶음밥,덮밥",18,
달걀김밥,,B0106009,밥류,김밥,9,
달걀김치주먹밥,,B0107004,밥류,주먹밥,4,
달걀밥,,B0111015,밥류,기타밥,15,
달걀볶음밥,,B0104019,밥류,"볶음밥,덮밥",19,
달걀비빔밥,,B0103009,밥류,비빔밥,9,
달걀오므라이스,,B0110001,밥류,오므라이스,1,
달걀참치볶음밥,,B0104020,밥류,"볶음밥,덮밥",20,
달걀초밥,305794.0,B0108013,밥류,초밥,13,달걀초밥
닭가슴살김치볶음밥,,B0104021,밥류,"볶음밥,덮밥",21,
닭가슴살볶음밥,,B0104022,밥류,"볶음밥,덮밥",22,
닭갈비볶음밥,,B0104023,밥류,"볶음밥,덮밥",23,
닭고기덮밥,306367.0,B0104058,밥류,"볶음밥,덮밥",58,닭고기덮밥
닭고기볶음밥,,B0104024,밥류,"볶음밥,덮밥",24,
닭살조림덮밥,,B0104025,밥류,"볶음밥,덮밥",25,
닭살카레라이스,,B0104026,밥류,"볶음밥,덮밥",26,
대게볶음밥,,B0104027,밥류,"볶음밥,덮밥",27,
대나무영양밥,,B0111016,밥류,기타밥,16,
더덕밥,,B0111017,밥류,기타밥,17,
덮밥,,B0104028,밥류,"볶음밥,덮밥",28,
도리아,,B0104029,밥류,"볶음밥,덮밥",29,
도미초밥,299214.0,B0108014,밥류,초밥,14,도미초밥
도토리묵밥,,B0109005,밥류,국밥,5,
돈가스김밥,,B0106010,밥류,김밥,10,
돈가스덮밥,,B0104030,밥류,"볶음밥,덮밥",30,
돈가스마요덮밥,,B0104031,밥류,"볶음밥,덮밥",31,
돌솥비빔밥,,B0103010,밥류,비빔밥,10,
돌솥알밥,,B0103011,밥류,비빔밥,11,
돼지고기굴소스볶음밥,,B0104032,밥류,"볶음밥,덮밥",32,
돼지고기김치볶음밥,,B0104033,밥류,"볶음밥,덮밥",33,
돼지고기덮밥,,B0104034,밥류,"볶음밥,덮밥",34,돼지고기덮밥
돼지고기카레라이스,,B0104035,밥류,"볶음밥,덮밥",35,
돼지국밥,,B0109006,밥류,국밥,6,
두부김치볶음밥,,B0104036,밥류,"볶음밥,덮밥",36,
땡초김밥,,B0106011,밥류,김밥,11,
떡갈비김밥,,B0106012,밥류,김밥,12,
보리밥,12005.0,B0102008,밥류,잡곡밥,8,
롤,,B0108015,밥류,초밥,15,
롤초밥,,B0108016,밥류,초밥,16,
리조또,,B0111018,밥류,기타밥,18,
마파두부가지덮밥,,B0104037,밥류,"볶음밥,덮밥",37,
마파두부덮밥,,B0104038,밥류,"볶음밥,덮밥",38,
멍게비빔밥,,B0103012,밥류,비빔밥,12,
메밀묵밥,,B0109007,밥류,국밥,7,
멸치견과류김밥,,B0106013,밥류,김밥,13,
멸치고추김밥,,B0106014,밥류,김밥,14,
멸치김밥,,B0106015,밥류,김밥,15,
멸치김주먹밥,,B0107005,밥류,주먹밥,5,
멸치우엉주먹밥,,B0107006,밥류,주먹밥,6,
멸치주먹밥,,B0107007,밥류,주먹밥,7,
명란젓덮밥,,B0104039,밥류,"볶음밥,덮밥",39,
모듬초밥,,B0108017,밥류,초밥,17,
무밥,,B0111019,밥류,기타밥,19,
묵밥,,B0109008,밥류,국밥,8,
문어초밥,,B0108018,밥류,초밥,18,
바베큐치킨김밥,,B0106016,밥류,김밥,16,
밤밥,,B0111020,밥류,기타밥,20,
밥,,B0101001,밥류,쌀밥,1,
밥버거,,B0107008,밥류,주먹밥,8,
방어초밥,,B0108019,밥류,초밥,19,
버섯밥,,B0111021,밥류,기타밥,21,
버섯오므라이스,,B0110002,밥류,오므라이스,2,
버섯콩나물밥,,B0111022,밥류,기타밥,22,
베이컨김치볶음밥,,B0104040,밥류,"볶음밥,덮밥",40,
베이컨달걀볶음밥,,B0104041,밥류,"볶음밥,덮밥",41,
베이컨볶음밥,,B0104042,밥류,"볶음밥,덮밥",42,
서리태콩밥,,B0102009,밥류,잡곡밥,9,
수수밥,,B0102010,밥류,잡곡밥,10,
보리비빔밥,,B0103013,밥류,비빔밥,13,
볶음밥,,B0104043,밥류,"볶음밥,덮밥",43,
봄나물비빔밥,,B0103014,밥류,비빔밥,14,
부추무침볶음밥,,B0104044,밥류,"볶음밥,덮밥",44,
불고기김밥,,B0106017,밥류,김밥,17,
불고기김치볶음밥,,B0104045,밥류,"볶음밥,덮밥",45,
불낙비빔밥,,B0103015,밥류,비빔밥,15,
불닭김밥,,B0106018,밥류,김밥,18,
비빔밥,,B0103016,밥류,비빔밥,16,
뿌리채소영양밥,,B0111023,밥류,기타밥,23,
사천중화해물볶음밥,,B0104046,밥류,"볶음밥,덮밥",46,
산채비빔밥,,B0103017,밥류,비빔밥,17,
삼각김밥,,B0106019,밥류,김밥,19,
삼겹살김밥,,B0106020,밥류,김밥,20,
삼겹살덮밥,,B0104047,밥류,"볶음밥,덮밥",47,
삼겹살볶음밥,,B0104048,밥류,"볶음밥,덮밥",48,
삼색소보로덮밥,,B0104049,밥류,"볶음밥,덮밥",49,
삼선볶음밥,,B0104050,밥류,"볶음밥,덮밥",50,
상추비빔밥,,B0103018,밥류,비빔밥,18,
새싹비빔밥,,B0103019,밥류,비빔밥,19,
새우김밥,,B0106021,밥류,김밥,21,
새우덮밥,,B0104056,밥류,"볶음밥,덮밥",56,
새우볶음밥,14004.0,B0104051,밥류,"볶음밥,덮밥",51,
새우장초밥,,B0108020,밥류,초밥,20,
새우초밥,307716.0,B0108021,밥류,초밥,21,새우초밥
새우튀김김밥,,B0106022,밥류,김밥,22,
새우튀김롤,,B0108022,밥류,초밥,22,
생선초밥,,B0108023,밥류,초밥,23,
영양돌솥밥,,B0102011,밥류,잡곡밥,11,
소라초밥,,B0108024,밥류,초밥,24,
소시지김밥,,B0106023,밥류,김밥,23,
쇠고기국밥,,B0109009,밥류,국밥,9,
쇠고기김밥,,B0106024,밥류,김밥,24,
쇠고기낙지덮밥,,B0104052,밥류,"볶음밥,덮밥",52,
소고기덮밥,15008.0,B0104053,밥류,"볶음밥,덮밥",53,소고기덮밥
쇠고기버섯덮밥,,B0104054,밥류,"볶음밥,덮밥",54,
쇠고기볶음밥,14005.0,B0104055,밥류,"볶음밥,덮밥",55,쇠고기볶음밥
쇠고기비빔밥,278374.0,B0103020,밥류,비빔밥,20,쇠고기비빔밥
쇠고기스테이크덮밥,,B0105002,밥류,"볶음밥,덮밥",2,
쇠고기짜장밥,,B0105003,밥류,"볶음밥,덮밥",3,
쇠고기영양부추밥,,B0111024,밥류,기타밥,24,
숯불불고기덮밥,,B0105004,밥류,"볶음밥,덮밥",4,
쇠고기초밥,,B0108025,밥류,초밥,25,
쇠고기콩나물밥,,B0111025,밥류,기타밥,25,
쇠머리국밥,,B0109010,밥류,국밥,10,
영양밥,13004.0,B0102012,밥류,잡곡밥,12,영양밥
숙채비빔밥,,B0103021,밥류,비빔밥,21,
순대국밥,,B0109011,밥류,국밥,11,
숯불고기김밥,,B0106025,밥류,김밥,25,
숯불닭갈비김밥,,B0106026,밥류,김밥,26,
스테이크덮밥,,B0105005,밥류,"볶음밥,덮밥",5,
스테이크볶음밥,,B0105006,밥류,"볶음밥,덮밥",6,
스팸볶음밥,,B0105007,밥류,"볶음밥,덮밥",7,
스팸김밥,,B0106027,밥류,김밥,27,
스팸김치김밥,,B0106028,밥류,김밥,28,
스팸꼬마김밥,,B0106029,밥류,김밥,29,
아스파라거스볶음밥,,B0105008,밥류,"볶음밥,덮밥",8,
스팸주먹밥,,B0107009,밥류,주먹밥,9,
스팸치즈달걀김밥,,B0106030,밥류,김밥,30,
시래기밥,,B0111037,밥류,기타밥,37,
쌀밥,,B0101002,밥류,쌀밥,2,
쌈밥,,B0111038,밥류,기타밥,38,
아보카도김마끼,,B0108026,밥류,초밥,26,
연어볶음밥,,B0105009,밥류,"볶음밥,덮밥",9,
알밥,,B0103022,밥류,비빔밥,22,
야채김밥,,B0106041,밥류,김밥,41,
어린잎채소비빔밥,,B0103023,밥류,비빔밥,23,
어묵김밥,,B0106031,밥류,김밥,31,
연어롤,,B0108027,밥류,초밥,27,
연어덮밥,306501.0,B0105010,밥류,"볶음밥,덮밥",10,연어덮밥
연어새싹비빔밥,,B0103024,밥류,비빔밥,24,
연어알밥,,B0103025,밥류,비빔밥,25,
연어알초밥,302847.0,B0108028,밥류,초밥,28,연어알초밥
연어초밥,,B0108029,밥류,초밥,29,
오리고기볶음밥,,B0105011,밥류,"볶음밥,덮밥",11,
연잎밥,,B0111026,밥류,기타밥,26,
열무보리비빔밥,,B0103026,밥류,비빔밥,26,
열무비빔밥,,B0103027,밥류,비빔밥,27,
오곡밥,,B0102013,밥류,잡곡밥,13,
옥수수밥,,B0102014,밥류,잡곡밥,14,
완두콩밥,,B0102015,밥류,잡곡밥,15,
오징어덮밥,,B0105012,밥류,"볶음밥,덮밥",12,
오므라이스,,B0110003,밥류,오므라이스,3,
오징어볶음밥,,B0105013,밥류,"볶음밥,덮밥",13,
오징어짜장덮밥,,B0105014,밥류,"볶음밥,덮밥",14,
인도식커리,,B0105015,밥류,"볶음밥,덮밥",15,인도식카레
오징어초밥,,B0108030,밥류,초밥,30,
율무밥,,B0102016,밥류,잡곡밥,16,
잡곡밥,12011.0,B0102017,밥류,잡곡밥,17,잡곡밥
우럭초밥,,B0108031,밥류,초밥,31,
유부초밥,16004.0,B0108032,밥류,초밥,32,유부초밥
육회비빔밥,,B0103028,밥류,비빔밥,28,
육회초밥,,B0108033,밥류,초밥,33,
차수수밥,,B0102018,밥류,잡곡밥,18,
일본식돼지고기덮밥,,B0105016,밥류,"볶음밥,덮밥",16,
잔멸치채소볶음밥,,B0105017,밥류,"볶음밥,덮밥",17,
전복볶음밥,,B0105018,밥류,"볶음밥,덮밥",18,
차조밥,,B0102019,밥류,잡곡밥,19,
잡채밥,,B0111027,밥류,기타밥,27,
잡탕밥,,B0111028,밥류,기타밥,28,
중화볶음밥,,B0105019,밥류,"볶음밥,덮밥",19,
장어초밥,,B0108034,밥류,초밥,34,
짜장밥,15013.0,B0105020,밥류,"볶음밥,덮밥",20,
전복초밥,,B0108035,밥류,초밥,35,
주먹밥,,B0107010,밥류,주먹밥,10,
쭈꾸미덮밥,,B0105021,밥류,"볶음밥,덮밥",21,
중화비빔밥,,B0103029,밥류,비빔밥,29,
즉석밥,,B0111035,밥류,기타밥,35,
진미채김밥,,B0106032,밥류,김밥,32,
차돌박이김치볶음밥,,B0105022,밥류,"볶음밥,덮밥",22,
짬뽕밥,,B0109012,밥류,국밥,12,
참치김치볶음밥,,B0105023,밥류,"볶음밥,덮밥",23,
쭈꾸미초밥,,B0108036,밥류,초밥,36,
참치마요덮밥,,B0105024,밥류,"볶음밥,덮밥",24,
찰밥,,B0102020,밥류,잡곡밥,20,
콩밥,12015.0,B0102021,밥류,잡곡밥,21,콩밥
통밀밥,,B0102022,밥류,잡곡밥,22,
참나물비빔밥,,B0103030,밥류,비빔밥,30,
참치고추김밥,,B0106033,밥류,김밥,33,
참치볶음밥,,B0105025,밥류,"볶음밥,덮밥",25,
참치마요김밥,,B0106034,밥류,김밥,34,
참치회덮밥,,B0105026,밥류,"볶음밥,덮밥",26,
챠슈덮밥,,B0105027,밥류,"볶음밥,덮밥",27,
