분류,대분류,중분류,소분류,기존코드,신규코드,음식명,코드,중복확인,영양성분분석코드,분석명,학습폴더명,1
B,볶음류,채소류,01,B100301,B1003001,가지볶음,B1003001,정상,103001,가지볶음,,
B,볶음류,육류,01,B100501,B1005001,간장닭갈비,B1005001,정상,82004,닭갈비,,
B,볶음류,기타,12,B100712,B1007012,감바스,B1007012,정상,306226,감바스,감바스,
B,볶음류,채소류,02,B100302,B1003002,감자당근볶음,B1003002,정상,,,,
B,볶음류,채소류,03,B100303,B1003003,감자볶음,B1003003,정상,103004,감자채볶음,,
B,볶음류,채소류,04,B100304,B1003004,감자채소볶음,B1003004,정상,,,,
B,볶음류,채소류,05,B100305,B1003005,감자파프리카볶음,B1003005,정상,,,,
B,볶음류,어패류,69,B100469,B1004069,갑오징어볶음,B1004069,정상,304055,갑오징어볶음,,
B,볶음류,채소류,06,B100306,B1003006,갓김치볶음,B1003006,정상,,,,
B,볶음류,채소류,07,B100307,B1003007,건가지볶음,B1003007,정상,,,,
B,볶음류,기타,01,B100701,B1007001,건도토리묵볶음,B1007001,정상,,,,
B,볶음류,두부,01,B100601,B1006001,건두부볶음,B1006001,정상,,,두부볶음,
B,볶음류,어패류,68,B100468,B1004068,건새우검정콩볶음,B1004068,정상,,,,
B,볶음류,어패류,67,B100467,B1004067,건새우마늘쫑볶음,B1004067,정상,,,,
B,볶음류,어패류,66,B100466,B1004066,건새우볶음,B1004066,정상,101002,건새우볶음,,
B,볶음류,어패류,65,B100465,B1004065,게맛살느타리버섯볶음,B1004065,정상,,,,
B,볶음류,육류,02,B100502,B1005002,고구마닭갈비,B1005002,정상,,,,
B,볶음류,채소류,08,B100308,B1003008,고추볶음,B1003008,정상,,,,
B,볶음류,잡채,01,B100201,B1002001,고추잡채,B1002001,정상,282747,떡만이 고추잡채,고추잡채,
B,볶음류,어패류,64,B100464,B1004064,고추장진미채볶음,B1004064,정상,,,,
B,볶음류,떡볶이,01,B100101,B1001001,국물떡볶이,B1001001,정상,,,,
B,볶음류,어패류,63,B100463,B1004063,굴볶음,B1004063,정상,,,,
B,볶음류,떡볶이,02,B100102,B1001002,궁중떡볶이,B1001002,정상,307284,궁중떡볶이,,
B,볶음류,육류,03,B100503,B1005003,김치닭갈비볶음,B1005003,정상,,,,
B,볶음류,채소류,09,B100309,B1003009,김치볶음,B1003009,정상,103012,김치볶음,김치볶음,
B,볶음류,떡볶이,03,B100103,B1001003,까르보나라떡볶이,B1001003,정상,304927,까르보나라 떡볶이,,
B,볶음류,채소류,10,B100310,B1003010,깻잎김치볶음,B1003010,정상,,,,
B,볶음류,채소류,11,B100311,B1003011,깻잎순볶음,B1003011,정상,,,,
B,볶음류,어패류,62,B100462,B1004062,꼴뚜기조개살볶음,B1004062,정상,,,,
B,볶음류,채소류,12,B100312,B1003012,꽈리고추견과볶음,B1003012,정상,,,,
B,볶음류,채소류,13,B100313,B1003013,꽈리고추버섯볶음,B1003013,정상,,,,
B,볶음류,채소류,14,B100314,B1003014,꽈리고추볶음,B1003014,정상,305144,꽈리고추볶음,,
B,볶음류,떡볶이,04,B100104,B1001004,낙지떡볶음,B1001004,정상,,,,
B,볶음류,어패류,61,B100461,B1004061,낙지볶음,B1004061,정상,101005,낙지볶음,,
B,볶음류,기타,02,B100702,B1007002,난자완쓰,B1007002,정상,,,,
B,볶음류,채소류,15,B100315,B1003015,느타리버섯볶음,B1003015,정상,103014,느타리버섯볶음,,
B,볶음류,육류,04,B100504,B1005004,다진쇠고기숙주볶음,B1005004,정상,,,,
B,볶음류,채소류,16,B100316,B1003016,단호박볶음,B1003016,정상,,,,
B,볶음류,육류,05,B100505,B1005005,달걀토마토볶음,B1005005,정상,278507,토마토달걀볶음,,
B,볶음류,육류,06,B100506,B1005006,닭가슴살볶음,B1005006,정상,258168,두부닭가슴살볶음,,
B,볶음류,육류,07,B100507,B1005007,닭가슴살양배추볶음,B1005007,정상,299189,닭가슴살양배추볶음,,
B,볶음류,육류,08,B100508,B1005008,닭가슴살채소데리야소스볶음,B1005008,정상,290567,닭가슴살 데리야끼 구이,,
B,볶음류,육류,09,B100509,B1005009,닭가슴살피망볶음,B1005009,정상,,,,
B,볶음류,육류,10,B100510,B1005010,닭갈비,B1005010,정상,82004,닭갈비,,
B,볶음류,육류,11,B100511,B1005011,닭고기김치볶음,B1005011,정상,,,,
B,볶음류,육류,12,B100512,B1005012,닭고기볶음,B1005012,정상,302256,닭고기볶음,,
B,볶음류,육류,13,B100513,B1005013,닭날개볶음,B1005013,정상,255882,"구운 닭 날개부위, 껍질 포함",,
B,볶음류,육류,14,B100514,B1005014,닭똥집볶음,B1005014,정상,306939,닭똥집볶음,,
B,볶음류,육류,15,B100515,B1005015,닭발볶음,B1005015,정상,306056,닭발볶음,닭발볶음,
B,볶음류,육류,16,B100516,B1005016,닭살채소두반장볶음,B1005016,정상,287957,닭고기 두반장볶음,,
B,볶음류,육류,17,B100517,B1005017,닭살채소볶음,B1005017,정상,302604,닭살채소볶음,,
B,볶음류,육류,18,B100518,B1005018,닭카레볶음,B1005018,정상,,,,
B,볶음류,육류,19,B100519,B1005019,닭파프리카볶음,B1005019,정상,,,,
B,볶음류,채소류,17,B100317,B1003017,당근버섯볶음,B1003017,정상,,,,
B,볶음류,채소류,18,B100318,B1003018,당근볶음,B1003018,정상,306451,당근볶음,,
B,볶음류,채소류,19,B100319,B1003019,당근브로콜리볶음,B1003019,정상,,,,
B,볶음류,기타,03,B100703,B1007003,당면버섯볶음,B1007003,정상,,,,
B,볶음류,육류,20,B100520,B1005020,더덕돼지주물럭,B1005020,정상,300551,더덕제육볶음,,
B,볶음류,채소류,20,B100320,B1003020,도라지볶음,B1003020,정상,103015,도라지볶음,,
B,볶음류,육류,21,B100521,B1005021,돼지고기고사리볶음,B1005021,정상,,,,
B,볶음류,육류,22,B100522,B1005022,돼지고기고수볶음,B1005022,정상,,,,
B,볶음류,육류,23,B100523,B1005023,돼지고기김치두루치기,B1005023,정상,102007,돈육두루치기,,
B,볶음류,육류,24,B100524,B1005024,돼지고기김치볶음,B1005024,정상,102009,돼지고기김치볶음,,
B,볶음류,육류,25,B100525,B1005025,돼지고기단호박두루치기,B1005025,정상,,,,
B,볶음류,육류,26,B100526,B1005026,돼지고기데리야끼볶음,B1005026,정상,297102,삼겹살 데리야끼,,
B,볶음류,육류,27,B100527,B1005027,돼지고기두루치기,B1005027,정상,102007,돈육두루치기,,
B,볶음류,육류,28,B100528,B1005028,돼지고기목살채소볶음,B1005028,정상,,,,
B,볶음류,육류,29,B100529,B1005029,돼지고기문어양파주물럭볶음,B1005029,정상,280383,문어두루치기,,
B,볶음류,육류,30,B100530,B1005030,돼지고기버섯볶음,B1005030,정상,,,,
B,볶음류,육류,31,B100531,B1005031,돼지고기볶음,B1005031,정상,102010,돼지고기볶음,,
B,볶음류,육류,32,B100532,B1005032,돼지고기오징어주물럭,B1005032,정상,258363,오징어목살볶음,,
B,볶음류,육류,33,B100533,B1005033,돼지고기콩나물볶음,B1005033,정상,303220,콩불고기,,
B,볶음류,육류,34,B100534,B1005034,돼지고기파인애플볶음,B1005034,정상,,,,
B,볶음류,육류,35,B100535,B1005035,돼지고기피망볶음,B1005035,정상,,,,
B,볶음류,육류,36,B100536,B1005036,돼지곱창볶음,B1005036,정상,102012,돼지곱창볶음,,
B,볶음류,육류,37,B100537,B1005037,돼지껍데기볶음,B1005037,정상,304621,돼지껍데기볶음,,
B,볶음류,육류,38,B100538,B1005038,돼지막창볶음,B1005038,정상,307720,돼지막창,,
B,볶음류,채소류,21,B100321,B1003021,두부김치,B1003021,정상,307755,두부김치,두부김치,
B,볶음류,두부,02,B100602,B1006002,두부두루치기,B1006002,정상,104002,두부두루치기,,
B,볶음류,두부,03,B100603,B1006003,두부브로콜리볶음,B1006003,정상,304581,브로콜리 두부무침,,
B,볶음류,채소류,22,B100322,B1003022,들깨새송이버섯볶음,B1003022,정상,298809,들깨버섯볶음,,
B,볶음류,떡볶이,05,B100105,B1001005,떡볶음,B1001005,정상,263610,쌀떡볶음,,
B,볶음류,떡볶이,06,B100106,B1001006,떡볶이,B1001006,정상,104003,떡볶이,,
B,볶음류,떡볶이,07,B100107,B1001007,"떡볶이,채소",B1001007,정상,104003,떡볶이,,
B,볶음류,떡볶이,08,B100108,B1001008,떡볶이.어묵,B1001008,정상,104003,떡볶이,,
B,볶음류,잡채,02,B100202,B1002002,떡잡채,B1002002,정상,105003,떡잡채,,
B,볶음류,채소류,23,B100323,B1003023,마늘볶음,B1003023,정상,303626,마늘볶음,,
B,볶음류,채소류,24,B100324,B1003024,마늘쫑볶음,B1003024,정상,103016,마늘쫑볶음,마늘쫑볶음,
B,볶음류,채소류,25,B100325,B1003025,마늘쫑새우볶음,B1003025,정상,303424,건새우마늘쫑볶음,,
B,볶음류,기타,04,B100704,B1007004,마라상궈,B1007004,정상,306598,마라샹궈,,
B,볶음류,두부,04,B100604,B1006004,마파두부,B1006004,정상,104007,마파두부,마파두부,
B,볶음류,육류,39,B100539,B1005039,막창볶음,B1005039,정상,,,,
B,볶음류,육류,40,B100540,B1005040,매운족발볶음,B1005040,정상,,,,
B,볶음류,채소류,26,B100326,B1003026,머위볶음,B1003026,정상,305124,머위대볶음,,
B,볶음류,어패류,60,B100460,B1004060,멸치견과류볶음,B1004060,정상,,,,
B,볶음류,어패류,59,B100459,B1004059,멸치고추볶음,B1004059,정상,101004,고추멸치볶음,,
B,볶음류,어패류,58,B100458,B1004058,멸치고추장볶음,B1004058,정상,,,,
B,볶음류,어패류,57,B100457,B1004057,멸치꽈리고추볶음,B1004057,정상,,,,
B,볶음류,어패류,56,B100456,B1004056,멸치땅콩볶음,B1004056,정상,296178,땅콩멸치볶음,,
B,볶음류,어패류,55,B100455,B1004055,멸치마늘쫑볶음,B1004055,정상,303540,마늘쫑멸치볶음,,
B,볶음류,어패류,54,B100454,B1004054,멸치볶음,B1004054,정상,308110,멸치볶음,멸치볶음,
B,볶음류,어패류,53,B100453,B1004053,멸치아몬드볶음,B1004053,정상,,,,
B,볶음류,어패류,52,B100452,B1004052,멸치호두볶음,B1004052,정상,300367,호두멸치볶음,,
B,볶음류,채소류,27,B100327,B1003027,명엽채볶음,B1003027,정상,305258,명엽채볶음,,
B,볶음류,채소류,28,B100328,B1003028,모닝글로리볶음,B1003028,정상,,,,
B,볶음류,채소류,29,B100329,B1003029,목이버섯볶음,B1003029,정상,,,,
B,볶음류,육류,41,B100541,B1005041,몽골리안포크,B1005041,정상,269363,후핫 몽골리안 그릴 돼지고기,,
B,볶음류,어패류,51,B100451,B1004051,문어볶음,B1004051,정상,101008,문어볶음,,
B,볶음류,어패류,50,B100450,B1004050,미꾸라지말린것볶음,B1004050,정상,,,,
B,볶음류,채소류,30,B100330,B1003030,미니새송이버섯볶음,B1003030,정상,,,,
B,볶음류,채소류,31,B100331,B1003031,미역줄기볶음,B1003031,정상,103019,미역줄기볶음,,
B,볶음류,채소류,32,B100332,B1003032,배추목이버섯볶음,B1003032,정상,,,,
B,볶음류,육류,42,B100542,B1005042,백순대볶음,B1005042,정상,278535,백순대볶음,,
B,볶음류,채소류,33,B100333,B1003033,버섯곤약파프리카볶음,B1003033,정상,,,,
B,볶음류,채소류,34,B100334,B1003034,버섯볶음,B1003034,정상,,,,
B,볶음류,잡채,03,B100203,B1002003,버섯잡채,B1002003,정상,105004,목이버섯잡채,,
B,볶음류,육류,43,B100543,B1005043,베이컨감자볶음,B1005043,정상,301054,베이컨감자볶음,,
B,볶음류,떡볶이,09,B100109,B1001009,베이컨떡볶음,B1001009,정상,,,,
B,볶음류,육류,44,B100544,B1005044,베이컨숙주볶음,B1005044,정상,,,,
B,볶음류,어패류,49,B100449,B1004049,보리새우볶음,B1004049,정상,,,,
B,볶음류,기타,05,B100705,B1007005,볶음캐슈넛,B1007005,정상,224017,캐슈넛,,
B,볶음류,어패류,48,B100448,B1004048,볼어묵볶음,B1004048,정상,,,,
B,볶음류,어패류,47,B100447,B1004047,"볼어묵볶음,어묵만",B1004047,정상,,,,
B,볶음류,육류,45,B100545,B1005045,부대볶음,B1005045,정상,,,,
B,볶음류,잡채,04,B100204,B1002004,부추잡채,B1002004,정상,105005,부추잡채,,
B,볶음류,어패류,46,B100446,B1004046,북어마늘쫑볶음,B1004046,정상,,,,
B,볶음류,채소류,35,B100335,B1003035,브로콜리볶음,B1003035,정상,306333,브로콜리볶음,,
B,볶음류,육류,46,B100546,B1005046,비엔나소시지볶음,B1005046,정상,,,,
B,볶음류,육류,47,B100547,B1005047,사천식돼지고기볶음,B1005047,정상,,,,
B,볶음류,육류,48,B100548,B1005048,삼겹살간장볶음,B1005048,정상,,,,
B,볶음류,육류,49,B100549,B1005049,삼겹살데리야끼볶음,B1005049,정상,,,,
B,볶음류,육류,50,B100550,B1005050,삼겹살볶음,B1005050,정상,,,,
B,볶음류,육류,51,B100551,B1005051,삼겹살숙주볶음,B1005051,정상,,,,
B,볶음류,육류,52,B100552,B1005052,삼겹살채소볶음,B1005052,정상,,,,
B,볶음류,채소류,66,B100366,B1003066,새송이버섯볶음,B1003066,정상,307694,새송이버섯볶음,,
B,볶음류,어패류,45,B100445,B1004045,새우볶음,B1004045,정상,101002,건새우볶음,새우볶음,새우 볶음 이름 변경
B,볶음류,어패류,44,B100444,B1004044,새우파인애플볶음,B1004044,정상,,,,
B,볶음류,육류,54,B100554,B1005054,소시지볶음,B1005054,정상,307576,소시지볶음,,
B,볶음류,육류,55,B100555,B1005055,소시지어묵볶음,B1005055,정상,301075,소시지 어묵볶음,,
B,볶음류,육류,56,B100556,B1005056,소시지제육볶음,B1005056,정상,,,,
B,볶음류,육류,57,B100557,B1005057,소시지채소볶음,B1005057,정상,102015,소세지야채볶음,,소시지 채소 볶음 이름대체
B,볶음류,육류,58,B100558,B1005058,소시지채소케찹볶음,B1005058,정상,,,,
B,볶음류,육류,59,B100559,B1005059,송이버섯볶음,B1005059,정상,304397,송이버섯구이,,
B,볶음류,육류,60,B100560,B1005060,송화버섯볶음,B1005060,정상,,,,
B,볶음류,육류,61,B100561,B1005061,쇠고기고추장볶음,B1005061,정상,102016,쇠고기고추장볶음,,
B,볶음류,육류,62,B100562,B1005062,쇠고기당면볶음,B1005062,정상,294295,소고기당면볶음,,
B,볶음류,떡볶이,10,B100110,B1001010,쇠고기떡볶이,B1001010,정상,,,,
B,볶음류,육류,63,B100563,B1005063,쇠고기마파두부,B1005063,정상,,,,
B,볶음류,육류,64,B100564,B1005064,쇠고기버섯볶음,B1005064,정상,102018,쇠고기버섯볶음,,
B,볶음류,육류,65,B100565,B1005065,쇠고기볶음,B1005065,정상,102019,쇠고기볶음,,
B,볶음류,육류,66,B100566,B1005066,쇠고기숙주볶음,B1005066,정상,,,,
B,볶음류,육류,67,B100567,B1005067,쇠고기양송이볶음,B1005067,정상,,,,
B,볶음류,잡채,05,B100205,B1002005,쇠고기잡채,B1002005,정상,,,,
B,볶음류,육류,68,B100568,B1005068,쇠고기주물럭,B1005068,정상,298388,소고기 주물럭,,
B,볶음류,육류,69,B100569,B1005069,쇠고기채소볶음,B1005069,정상,102020,쇠고기야채볶음,,
B,볶음류,육류,70,B100570,B1005070,쇠고기파프리카볶음,B1005070,정상,,,,
B,볶음류,육류,71,B100571,B1005071,쇠불고기낙지볶음,B1005071,정상,297338,불고기낙지볶음,,
B,볶음류,채소류,36,B100336,B1003036,숙주버섯볶음,B1003036,정상,,,,
B,볶음류,채소류,37,B100337,B1003037,숙주볶음,B1003037,정상,306410,숙주볶음,,
B,볶음류,육류,72,B100572,B1005072,순대곱창볶음,B1005072,정상,307253,순대곱창볶음,,
B,볶음류,육류,73,B100573,B1005073,순대볶음,B1005073,정상,307704,순대볶음,,
B,볶음류,채소류,38,B100338,B1003038,시래기볶음,B1003038,정상,,,,
B,볶음류,어패류,43,B100443,B1004043,실치볶음,B1004043,정상,,,,
B,볶음류,채소류,39,B100339,B1003039,싸리버섯볶음,B1003039,정상,,,,
B,볶음류,채소류,40,B100340,B1003040,양배추볶음,B1003040,정상,306580,양배추볶음,,
B,볶음류,채소류,41,B100341,B1003041,양송이버섯볶음,B1003041,정상,,,,
B,볶음류,채소류,42,B100342,B1003042,양파볶음,B1003042,정상,103025,양파볶음,,
B,볶음류,어패류,42,B100442,B1004042,어묵고추장볶음,B1004042,정상,296985,어묵고추장볶음,,
B,볶음류,어패류,41,B100441,B1004041,어묵느타리버섯볶음,B1004041,정상,,,,
B,볶음류,어패류,40,B100440,B1004040,어묵당근볶음,B1004040,정상,,,,
B,볶음류,어패류,39,B100439,B1004039,어묵마늘쫑볶음,B1004039,정상,101006,마늘쫑어묵볶음,,
B,볶음류,어패류,38,B100438,B1004038,어묵맛살볶음,B1004038,정상,,,,
B,볶음류,잡채,06,B100206,B1002006,어묵맛살파프리카잡채,B1002006,정상,,,,
B,볶음류,어패류,37,B100437,B1004037,어묵버섯양념볶음,B1004037,정상,,,,
B,볶음류,어패류,36,B100436,B1004036,어묵볶음,B1004036,정상,101011,어묵볶음,어묵볶음,
B,볶음류,어패류,35,B100435,B1004035,어묵우엉볶음,B1004035,정상,,,,
B,볶음류,잡채,07,B100207,B1002007,어묵잡채,B1002007,정상,,,,
B,볶음류,어패류,34,B100434,B1004034,어묵채소볶음,B1004034,정상,,,,
B,볶음류,어패류,33,B100433,B1004033,어묵청양고추볶음,B1004033,정상,,,,
B,볶음류,어패류,32,B100432,B1004032,어묵파프리카볶음,B1004032,정상,,,,
B,볶음류,어패류,31,B100431,B1004031,어묵피망볶음,B1004031,정상,,,,
B,볶음류,어패류,30,B100430,B1004030,어묵햄볶음,B1004030,정상,,,,
B,볶음류,기타,10,B100710,B1007010,여주볶음,B1007010,정상,,,,
B,볶음류,채소류,43,B100343,B1003043,열무김치볶음,B1003043,정상,,,,
B,볶음류,육류,74,B100574,B1005074,오돌뼈볶음,B1005074,정상,,,,
B,볶음류,육류,75,B100575,B1005075,오리고기두루치기,B1005075,정상,,,,
B,볶음류,육류,76,B100576,B1005076,오리김치볶음,B1005076,정상,286501,훈제오리김치주물럭,,
B,볶음류,육류,77,B100577,B1005077,오리파채볶음,B1005077,정상,,,,
B,볶음류,채소류,44,B100344,B1003044,오이볶음,B1003044,정상,103026,오이볶음,,
B,볶음류,어패류,29,B100429,B1004029,오징어낙지볶음,B1004029,정상,266812,그리팅 저당)낙지오징어미나리볶음 세트,,
B,볶음류,떡볶이,11,B100111,B1001011,오징어떡볶음,B1001011,정상,101013,오징어떡볶음,,
B,볶음류,어패류,28,B100428,B1004028,오징어버섯볶음,B1004028,정상,101014,오징어버섯볶음,,
B,볶음류,어패류,27,B100427,B1004027,오징어볶음,B1004027,정상,101015,오징어볶음,,
B,볶음류,어패류,26,B100426,B1004026,오징어어묵볶음,B1004026,정상,101016,오징어어묵볶음,,
B,볶음류,어패류,25,B100425,B1004025,오징어쭈꾸미볶음,B1004025,정상,,,,
B,볶음류,채소류,45,B100345,B1003045,우엉볶음,B1003045,정상,103027,우엉볶음,,
B,볶음류,기타,06,B100706,B1007006,유산슬,B1007006,정상,307295,유산슬,,
B,볶음류,어패류,24,B100424,B1004024,잔멸치건새우볶음,B1004024,정상,,,,
B,볶음류,어패류,23,B100423,B1004023,잔멸치견과류볶음,B1004023,정상,,,,
B,볶음류,어패류,22,B100422,B1004022,잔멸치꽈리고추볶음,B1004022,정상,,,,
B,볶음류,어패류,21,B100421,B1004021,잔멸치땅콩볶음,B1004021,정상,,,,
B,볶음류,어패류,20,B100420,B1004020,잔멸치볶음,B1004020,정상,101019,잔멸치볶음,,
B,볶음류,어패류,19,B100419,B1004019,잔멸치아마씨볶음,B1004019,정상,,,,
B,볶음류,어패류,18,B100418,B1004018,잔멸치잣볶음,B1004018,정상,,,,
B,볶음류,어패류,17,B100417,B1004017,잔멸치청양고추볶음,B1004017,정상,,,,
B,볶음류,어패류,16,B100416,B1004016,잔멸치풋고추볶음,B1004016,정상,,,,
B,볶음류,어패류,15,B100415,B1004015,잔멸치호두볶음,B1004015,정상,,,,
B,볶음류,어패류,14,B100414,B1004014,잔멸치호박씨볶음,B1004014,정상,,,,
B,볶음류,잡채,08,B100208,B1002008,잡채,B1002008,정상,105006,잡채,,
B,볶음류,어패류,13,B100413,B1004013,장어볶음,B1004013,정상,300584,꼼장어볶음,,
B,볶음류,기타,11,B100711,B1007011,전가복,B1007011,정상,306224,전가복,,
B,볶음류,어패류,12,B100412,B1004012,전복버섯볶음,B1004012,정상,,,,
B,볶음류,채소류,46,B100346,B1003046,죽순들깨볶음,B1003046,정상,,,,
B,볶음류,채소류,47,B100347,B1003047,죽순볶음,B1003047,정상,103028,죽순볶음,,
B,볶음류,어패류,11,B100411,B1004011,쥐포볶음,B1004011,정상,101021,쥐포볶음,,
B,볶음류,떡볶이,12,B100112,B1001012,즉석떡볶이,B1001012,정상,307820,즉석떡볶이,,
B,볶음류,어패류,10,B100410,B1004010,진미채볶음,B1004010,정상,308086,진미채볶음,진미채볶음,
B,볶음류,떡볶이,13,B100113,B1001013,짜장떡볶이,B1001013,정상,307199,짜장떡볶이,,
B,볶음류,어패류,09,B100409,B1004009,쭈꾸미볶음,B1004009,정상,304634,쭈꾸미볶음,,
B,볶음류,어패류,08,B100408,B1004008,쭈꾸미불고기볶음,B1004008,정상,300116,쭈꾸미불고기,,
B,볶음류,어패류,07,B100407,B1004007,쭈꾸미삼겹살볶음,B1004007,정상,292026,쭈꾸미 삼겹살,,
B,볶음류,육류,78,B100578,B1005078,차돌박이숙주볶음,B1005078,정상,278515,차돌박이 숙주볶음,,
B,볶음류,어패류,06,B100406,B1004006,참치김치볶음,B1004006,정상,101022,참치김치볶음,,
B,볶음류,어패류,05,B100405,B1004005,참치볶음,B1004005,정상,,,,
B,볶음류,어패류,04,B100404,B1004004,참치호박볶음,B1004004,정상,,,,
B,볶음류,채소류,48,B100348,B1003048,채소볶음,B1003048,정상,305836,채소볶음,,
B,볶음류,채소류,49,B100349,B1003049,청경채볶음,B1003049,정상,305999,청경채볶음,,
B,볶음류,채소류,50,B100350,B1003050,총각김치볶음,B1003050,정상,301558,총각김치볶음,,
B,볶음류,채소류,51,B100351,B1003051,취나물볶음,B1003051,정상,103029,취나물볶음,,
B,볶음류,육류,79,B100579,B1005079,치즈닭갈비,B1005079,정상,304930,치즈닭갈비,,
B,볶음류,떡볶이,14,B100114,B1001014,치즈떡볶이,B1001014,정상,307584,치즈떡볶이,,
B,볶음류,육류,80,B100580,B1005080,치즈불닭,B1005080,정상,302961,치즈불닭,,
B,볶음류,어패류,03,B100403,B1004003,치즈쭈꾸미삼겹살볶음,B1004003,정상,,,,
B,볶음류,떡볶이,15,B100115,B1001015,카레떡볶이,B1001015,정상,304002,카레떡볶이,,
B,볶음류,채소류,52,B100352,B1003052,콜리플라워볶음,B1003052,정상,,,,
B,볶음류,채소류,53,B100353,B1003053,콩고기볶음,B1003053,정상,302970,콩고기볶음,,
B,볶음류,채소류,54,B100354,B1003054,콩나물볶음,B1003054,정상,307312,콩나물볶음,,
B,볶음류,육류,81,B100581,B1005081,콩나물불고기,B1005081,정상,304973,콩나물불고기찜,,
B,볶음류,잡채,09,B100209,B1002009,콩나물잡채,B1002009,정상,105007,콩나물잡채,,
B,볶음류,떡볶이,16,B100116,B1001016,크림떡볶이,B1001016,정상,304212,크림 떡볶이,,
B,볶음류,육류,82,B100582,B1005082,토끼고기주물럭,B1005082,정상,,,,
B,볶음류,채소류,55,B100355,B1003055,토마토볶음,B1003055,정상,305042,토마토볶음,,
B,볶음류,기타,07,B100707,B1007007,파래자반,B1007007,정상,298127,파래자반,,
B,볶음류,채소류,56,B100356,B1003056,파프리카볶음,B1003056,정상,,,,
B,볶음류,잡채,10,B100210,B1002010,파프리카잡채,B1002010,정상,,,,
B,볶음류,기타,08,B100708,B1007008,팔보채,B1007008,정상,105008,팔보채,,
B,볶음류,채소류,57,B100357,B1003057,팽이버섯미역줄기볶음,B1003057,정상,,,,
B,볶음류,채소류,58,B100358,B1003058,팽이버섯볶음,B1003058,정상,306583,팽이버섯볶음,,
B,볶음류,채소류,59,B100359,B1003059,표고버섯볶음,B1003059,정상,307762,표고버섯볶음,,
B,볶음류,기타,09,B100709,B1007009,푸팟퐁커리,B1007009,정상,305646,푸팟퐁커리,,
B,볶음류,육류,83,B100583,B1005083,한우장똑똑이,B1005083,정상,,,,
B,볶음류,어패류,02,B100402,B1004002,한치볶음,B1004002,정상,293645,한치볶음,,
B,볶음류,어패류,01,B100401,B1004001,해물볶음,B1004001,정상,,,,
B,볶음류,잡채,11,B100211,B1002011,해물잡채,B1002011,정상,302102,해물잡채,,
B,볶음류,육류,84,B100584,B1005084,햄가지볶음,B1005084,정상,,,,
B,볶음류,육류,85,B100585,B1005085,햄감자볶음,B1005085,정상,103006,감자햄볶음,,
B,볶음류,육류,86,B100586,B1005086,햄느타리버섯볶음,B1005086,정상,,,,
B,볶음류,육류,87,B100587,B1005087,햄볶음,B1005087,정상,306908,햄볶음,,
B,볶음류,육류,88,B100588,B1005088,햄브로콜리볶음,B1005088,정상,257652,후랑크햄브로콜리볶음,,
B,볶음류,육류,89,B100589,B1005089,햄채소볶음,B1005089,정상,296331,햄채소볶음,,
B,볶음류,육류,90,B100590,B1005090,햄케첩볶음,B1005090,정상,,,,
B,볶음류,육류,91,B100591,B1005091,햄표고버섯볶음,B1005091,정상,,,,
B,볶음류,채소류,60,B100360,B1003060,호박느타리버섯볶음,B1003060,정상,,,,
B,볶음류,채소류,61,B100361,B1003061,호박버섯볶음,B1003061,정상,302146,호박버섯볶음,,
B,볶음류,채소류,62,B100362,B1003062,호박볶음,B1003062,정상,103030,호박볶음,,
B,볶음류,육류,92,B100592,B1005092,후랑크소시지볶음,B1005092,정상,288486,후랑크소시지볶음,,
B,볶음류,육류,93,B100593,B1005093,훈제오리김치볶음,B1005093,정상,286501,훈제오리김치주물럭,,
B,볶음류,육류,94,B100594,B1005094,훈제오리볶음,B1005094,정상,305266,훈제오리볶음,,
B,볶음류,육류,95,B100595,B1005095,훈제오리채소볶음,B1005095,정상,,,,
B,"나물, 숙채류",나물,01,B130101,B1301001,가지나물,B1301001,정상,133001,가지나물,,
B,"나물, 숙채류",나물,02,B130102,B1301002,건취나물,B1301002,정상,133034,취나물,,
B,"나물, 숙채류",나물,03,B130103,B1301003,고구마줄기나물,B1301003,정상,306578,고구마줄기나물,,신규음식리스트 고구마줄기 포함
B,"나물, 숙채류",나물,04,B130104,B1301004,고구마줄기들깨나물,B1301004,정상,302125,고구마줄기 들깨볶음,,
B,"나물, 숙채류",나물,05,B130105,B1301005,고비나물,B1301005,정상,296371,고비나물,,
B,"나물, 숙채류",나물,06,B130106,B1301006,고사리나물,B1301006,정상,133004,고사리나물,고사리,
B,"나물, 숙채류",나물,07,B130107,B1301007,고추가지나물,B1301007,정상,,,,
B,"나물, 숙채류",나물,08,B130108,B1301008,고춧잎나물,B1301008,정상,,,,
B,"나물, 숙채류",나물,09,B130109,B1301009,곤드레나물,B1301009,정상,305237,곤드레나물,,
B,"나물, 숙채류",나물,10,B130110,B1301010,곰취나물,B1301010,정상,306177,곰취나물,,
B,"나물, 숙채류",나물,11,B130111,B1301011,근대나물,B1301011,정상,133006,근대나물,,
B,"나물, 숙채류",나물,12,B130112,B1301012,깨순나물,B1301012,정상,,,,
B,"나물, 숙채류",나물,13,B130113,B1301013,깻잎나물,B1301013,정상,133007,깻잎나물,,
B,"나물, 숙채류",나물,14,B130114,B1301014,냉이나물,B1301014,정상,133008,냉이나물,,
B,"나물, 숙채류",나물,15,B130115,B1301015,느타리버섯나물,B1301015,정상,,,,
B,"나물, 숙채류",나물,16,B130116,B1301016,다래순나물,B1301016,정상,300071,다래순나물,,
